INSERT ALL
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('ACI208', 'Embedded Systems', 2, 'aragonluisa@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('ILX162', 'Economic History', 6, 'sandovalcarla@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('IPI105', 'Labor Economics', 2, 'figueroadaniela@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('IQQ159', 'Aerodynamics', 1, 'laravicente@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('IRJ248', 'Chemical Kinetics', 6, 'acostaregina@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('IRZ202', 'Chemical Kinetics', 5, 'navasclaudia@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('ISA229', 'Behavioral Economics', 1, 'molinapatricia@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('ISS203', 'Electrochemistry', 6, 'bustamantemonica@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('IWE172', 'Linear Algebra', 4, 'castrofernando@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('IWW193', 'Climate Change', 4, 'rojasgloria@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('IXA170', 'Fluid Mechanics', 6, 'penajulian@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('JBG163', 'Condensed Matter Physics', 6, 'escobarsergio@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('JBG239', 'Behavioral Economics', 4, 'velasquezmonica@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('JCM219', 'Legislative Processes', 3, 'valencianancy@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('JDE114', 'Microeconomics', 1, 'melendezconsuelo@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('JEB216', 'Microbiology', 2, 'santamariaaurora@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('JEP229', 'Robotics', 2, 'ibanezroberto@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('JGE184', 'Genetics', 2, 'peraltaemma@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('JHS208', 'Cognitive Psychology', 5, 'lunaesteban@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('JIH249', 'Educational Psychology', 1, 'ceballosrodrigo@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('JLP123', 'Biodiversity Conservation', 5, 'rubiolaura@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('JMO200', 'Economic History', 3, 'coronadoximena@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('JNQ125', 'Robotics', 2, 'berriosjuana@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('JNY227', 'Quantum Mechanics', 4, 'paredeshugo@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('JPS129', 'Data Structures and Algorithms', 6, 'poncevaleria@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('JRX225', 'Psychopathology', 4, 'chavesfederico@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('JTM123', 'Medieval History', 5, 'nunezraul@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('JUK114', 'Strategic Management', 5, 'ibarraberenice@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('JVN178', 'Supply Chain Management', 1, 'arandajesus@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('JWD200', 'Immunology', 1, 'tapiagabriela@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('JWF128', 'Power Systems', 5, 'alvarezdaniela@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('JWK183', 'Aerodynamics', 3, 'escalanteceleste@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('JXL224', 'Climate Change', 4, 'mirandagerardo@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('KAD231', 'Environmental Impact Assessment', 4, 'castellanoslorena@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('KAW147', 'Soil Science', 6, 'vegadaniel@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('KCD113', 'Blockchain Technology', 2, 'lopezjavier@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('KDC163', 'Number Theory', 1, 'riveraflorencia@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('KFC199', 'Physical Chemistry', 6, 'cuellarpaula@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('KIL205', 'Human Rights', 5, 'roldanpilar@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('KKO172', 'History of Science and Technology', 2, 'tapiagabriela@university.edu.es')
    INTO COURSES (COURSE_CODE, TITLE, CREDITS, PROFESSOR_EMAIL) VALUES ('KLE117', 'Microelectronics', 5, 'fernandezmaria@university.edu.es')
